,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Saint-François,46.42,3.91,73.99,53,53,12.75,FR,1592758802
1,Saint George,37.1,-113.58,90.0,15,15,3.42,US,1592758809
3,Hobart,-42.88,147.33,55.4,93,93,10.29,AU,1592758754
4,East London,-33.02,27.91,66.76,62,62,17.43,ZA,1592758877
5,Hilo,19.73,-155.09,69.01,68,68,8.05,US,1592758877
6,Bredasdorp,-34.53,20.04,59.0,93,93,2.82,ZA,1592758696
7,Karoi,-16.81,29.69,55.62,73,73,1.54,ZW,1592758877
8,Hithadhoo,-0.6,73.08,84.18,70,70,5.17,MV,1592758877
9,Santa Rosa,14.31,121.11,82.4,83,83,2.24,PH,1592758877
10,Severo-Kuril'sk,50.68,156.12,43.56,80,80,8.03,RU,1592758790
11,Albany,42.6,-73.97,89.01,48,48,3.96,US,1592758878
12,Santa Rosalía,27.32,-112.28,88.88,19,19,5.93,MX,1592758878
13,Adrar,20.5,-10.07,110.32,8,8,17.6,MR,1592758708
14,Tiquicheo,18.88,-100.73,93.13,43,43,2.39,MX,1592758878
15,Nikolskoye,59.7,30.79,66.2,45,45,8.95,RU,1592758879
16,Punta Arenas,-53.15,-70.92,39.2,86,86,12.75,CL,1592758879
17,Saint Paul Harbor,57.79,-152.41,50.0,87,87,11.41,US,1592758879
18,Gryazovets,58.88,40.25,57.04,72,72,3.8,RU,1592758879
19,Buala,-8.14,159.59,80.26,79,79,4.94,SB,1592758879
20,Lensk,60.73,114.93,58.42,81,81,1.88,RU,1592758879
21,Coruripe,-10.13,-36.18,79.79,67,67,13.58,BR,1592758879
22,Goya,-29.14,-59.26,78.69,60,60,3.29,AR,1592758880
23,Castro,-24.79,-50.01,73.24,53,53,10.0,BR,1592758814
24,Norman Wells,65.28,-126.83,55.4,100,100,6.93,CA,1592758880
25,Iqaluit,63.75,-68.51,42.8,70,70,8.05,CA,1592758866
26,Kapaa,22.08,-159.32,75.2,83,83,11.41,US,1592758880
27,Beringovskiy,63.05,179.32,47.43,54,54,3.58,RU,1592758810
28,Kiunga,-6.12,141.29,72.19,98,98,1.3,PG,1592758880
29,Puerto Ayora,-0.74,-90.35,75.2,73,73,17.22,EC,1592758881
30,Yellowknife,62.46,-114.35,73.0,52,52,17.22,CA,1592758832
31,Butaritari,3.07,172.79,83.59,76,76,16.96,KI,1592758881
34,Malmesbury,-33.46,18.73,59.0,93,93,8.05,ZA,1592758881
35,Tuktoyaktuk,69.45,-133.04,37.4,93,93,8.05,CA,1592758881
36,Sibolga,1.74,98.78,75.47,87,87,4.9,ID,1592758882
37,Coxim,-18.51,-54.76,89.87,31,31,10.76,BR,1592758882
38,Vila Velha,-20.33,-40.29,82.4,58,58,10.29,BR,1592758636
39,Cape Town,-33.93,18.42,60.01,93,93,8.05,ZA,1592758685
40,Vaini,-21.2,-175.2,75.2,100,100,6.93,TO,1592758882
41,Atuona,-9.8,-139.03,79.99,63,63,9.91,PF,1592758882
42,Faanui,-16.48,-151.75,78.04,82,82,24.76,PF,1592758771
43,Whitehorse,60.72,-135.05,50.0,57,57,10.29,CA,1592758882
44,Ushuaia,-54.8,-68.3,37.4,80,80,3.36,AR,1592758723
46,Biak,-0.91,122.88,77.14,82,82,7.4,ID,1592758883
47,Port Elizabeth,-33.92,25.57,60.8,77,77,11.41,ZA,1592758883
